,Trigger document,Earmarked Funds,Document item,Business Transaction,Consptn in Doc.Crncy,Currency,Revaluation rate,Consumption in LC,Local Currency,Delete Date,Document Date,Reduction text,Purchasing Document,Reference document,Reference procedure,Reference line item,Item,Line item,Seq. No. of Account Assgt,GL
1,0014268084 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-21,2018-03-21,Freight Charges,14268084.0,14268084.0,PREQ,20.0,20.0,,,2201.0
2,0014263945 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-27,2018-03-19,Freight charges,14263945.0,14263945.0,PREQ,20.0,20.0,,,2201.0
3,0014263837 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-28,2018-03-19,Freight,14263837.0,14263837.0,PREQ,20.0,20.0,,,2201.0
4,0014262000 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-27,2018-03-16,Freight Charges,14262000.0,14262000.0,PREQ,20.0,20.0,,,2201.0
5,0014260003 00030,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-28,2018-03-15,Freight,14260003.0,14260003.0,PREQ,30.0,30.0,,,2201.0
6,0014256622 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-27,2018-03-13,Freight,14256622.0,14256622.0,PREQ,20.0,20.0,,,2201.0
7,0014252226 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-14,2018-03-12,Freight Charges,14252226.0,14252226.0,PREQ,10.0,10.0,,,2201.0
8,0014250667 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-27,2018-03-09,Parts Washer Pump,14250667.0,14250667.0,PREQ,10.0,10.0,,,2201.0
9,0014246715 00030,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-16,2018-03-06,Freight,14246715.0,14246715.0,PREQ,30.0,30.0,,,2201.0
10,0014241631 00010,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-02,2018-03-02,Fedex Freight,14241631.0,14241631.0,PREQ,10.0,10.0,,,2201.0
11,0014233775 00040,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-03-19,2018-02-26,Freight,14233775.0,14233775.0,PREQ,40.0,40.0,,,2201.0
12,0014225927 00020,,1.0,Purchase Requisition,0,CAD,,0,CAD,2018-02-26,2018-02-21,Freight,14225927.0,14225927.0,PREQ,20.0,20.0,,,2201.0
